Sr,Name,Docstatus,Customer,Type of Invoice,Grand Total,Status,Currency,Grand Total (Company Currency),Outstanding Amount,Payment Due Date,Integrator ID,Party Account Currency,POS Profile,Date,Price List Rate,Item Name,Item,Sales Invoice
1481,ACC-SINV-2024-01535,1,Cash - Shopify ID,Full Payment,366400,Paid,IDR,366400,0,2024-05-19,323801,IDR,Shopify ID - Kasir,2024-05-19,458000,SIRIUS MESSENGER BAG - BLACK,TUBSM303800BACCOSN,d28b7c3d6a
1482,ACC-SINV-2024-01534,1,Cash - Shopify ID,Full Payment,302400,Paid,IDR,302400,0,2024-05-19,323804,IDR,Shopify ID - Kasir,2024-05-19,378000,CARTAGENA RIDING VEST - BLACK M,TMBVD301173BJPOLNG,3d218ff98f
1483,MP-SINV-2024-79853-1,1,Cash - Shopify ID,Full Payment,365000,Paid,IDR,365000,0,2024-05-05,323810-NONPCA,IDR,Shopify ID - Kasir,2024-05-05,418000,ALMAGRO OFFICE BACKPACK - BLACK,TMBBO2033BJNG,235675626c
1484,MP-SINV-2024-79853-1,1,Cash - Shopify ID,Full Payment,365000,Paid,IDR,365000,0,2024-05-05,323810-NONPCA,IDR,Shopify ID - Kasir,2024-05-05,98000,EVO SEOHA TOILETRIS - NAVY,TUCOT200100INBIMNG,abcf8bef90
1485,MP-SINV-2024-79853-1,1,Cash - Shopify ID,Full Payment,365000,Paid,IDR,365000,0,2024-05-05,323810-NONPCA,IDR,Shopify ID - Kasir,2024-05-05,148000,PARAGUAS FOLDABLE UMBRELLA - BLACK,TUCUM300800BADA,acfcc1e377
1486,MP-SINV-2024-74770,1,Cash - Shopify ID,Full Payment,115941.87,Paid,IDR,115941.87,0,2024-04-29,322618,IDR,Shopify ID - Kasir,2024-04-29,198000,ASA MULTI POUCH  - GREY,TUBOG339500GSNYNG,a36c5321a5
1487,ACC-SINV-2024-01533,1,Cash - Shopify ID,Full Payment,300448,Paid,IDR,300448,0,2024-05-19,323812,IDR,Shopify ID - Kasir,2024-05-19,458000,NEO CUNCHEON BACKPACK 22L - BLACK,TMBBS100326BANXNG,ebaa7ae4e1
1488,MP-SINV-2024-81599-1,1,Cash - Shopify ID,Full Payment,899000,Paid,IDR,899000,0,2024-05-05,323815-NONPCA,IDR,Shopify ID - Kasir,2024-05-05,58000,TOALLA TRAVEL ICE TOWEL - GREY ,TUCTG206973GMNG,36f3191eae
1489,MP-SINV-2024-81599-1,1,Cash - Shopify ID,Full Payment,899000,Paid,IDR,899000,0,2024-05-05,323815-NONPCA,IDR,Shopify ID - Kasir,2024-05-05,999000,KANZAKI DP 30L Black,TPL4.MF.80090B,5d1501831c
1490,MP-SINV-2024-81599-1,1,Cash - Shopify ID,Full Payment,899000,Paid,IDR,899000,0,2024-05-05,323815-NONPCA,IDR,Shopify ID - Kasir,2024-05-05,68000,GABARDINA TWO PIECE RAINCOAT - WHITE,TUAJI306975WHPOLNG,91c7204f30
